country,year,democracy,monarchy
Malawi,2010,democracy,republic
Malawi,2011,democracy,republic
Malawi,2012,democracy,republic
Namibia,2000,autocracy,N/A
Namibia,2001,autocracy,N/A
Namibia,2002,autocracy,N/A
Namibia,2003,autocracy,N/A
Namibia,2004,autocracy,N/A
Namibia,2005,autocracy,N/A
Namibia,2006,autocracy,N/A
Namibia,2007,autocracy,N/A
Namibia,2008,autocracy,N/A
Namibia,2009,autocracy,N/A
Namibia,2010,autocracy,N/A
Namibia,2011,democracy,republic
Namibia,2012,democracy,republic
Lesotho,2000,autocracy,N/A
Lesotho,2001,autocracy,N/A
Lesotho,2002,democracy,monarchy
Lesotho,2003,democracy,monarchy
Lesotho,2004,democracy,monarchy
Lesotho,2005,democracy,monarchy
Lesotho,2006,democracy,monarchy
Lesotho,2007,democracy,monarchy
Lesotho,2008,democracy,monarchy
Lesotho,2009,democracy,monarchy
Lesotho,2010,democracy,monarchy
Lesotho,2011,democracy,monarchy
Lesotho,2012,democracy,monarchy
Botswana,2000,democracy,republic
Botswana,2001,democracy,republic
Botswana,2002,democracy,republic
Botswana,2003,democracy,republic
Botswana,2004,democracy,republic
Botswana,2005,democracy,republic
Botswana,2006,democracy,republic
Botswana,2007,democracy,republic
Botswana,2008,democracy,republic
Botswana,2009,democracy,republic
Botswana,2010,democracy,republic
Botswana,2011,democracy,republic
Botswana,2012,democracy,republic
Madagascar,2000,democracy,republic
Madagascar,2001,democracy,republic
Madagascar,2002,democracy,republic
Madagascar,2003,democracy,republic
Madagascar,2004,democracy,republic
Madagascar,2005,democracy,republic
Madagascar,2006,democracy,republic
Madagascar,2007,democracy,republic
Madagascar,2008,democracy,republic
Madagascar,2009,autocracy,N/A
Madagascar,2010,autocracy,N/A
Madagascar,2011,autocracy,N/A
Madagascar,2012,autocracy,N/A
Comoros,2000,autocracy,N/A
Comoros,2001,autocracy,N/A
Comoros,2002,autocracy,N/A
Comoros,2003,autocracy,N/A
Comoros,2004,autocracy,N/A
Comoros,2005,autocracy,N/A
Comoros,2006,democracy,republic
Comoros,2007,democracy,republic
Comoros,2008,democracy,republic
Comoros,2009,democracy,republic
Comoros,2010,democracy,republic
Comoros,2011,democracy,republic
Comoros,2012,democracy,republic
Mauritius,2000,democracy,republic
Mauritius,2001,democracy,republic
Mauritius,2002,democracy,republic
Mauritius,2003,democracy,republic
Mauritius,2004,democracy,republic
Mauritius,2005,democracy,republic
Mauritius,2006,democracy,republic
Mauritius,2007,democracy,republic
Mauritius,2008,democracy,republic
Mauritius,2009,democracy,republic
Mauritius,2010,democracy,republic
Mauritius,2011,democracy,republic
Mauritius,2012,democracy,republic
Seychelles,2000,autocracy,N/A
Seychelles,2001,autocracy,N/A
Seychelles,2002,autocracy,N/A
Seychelles,2003,autocracy,N/A
Seychelles,2004,autocracy,N/A
Seychelles,2005,autocracy,N/A
Seychelles,2006,autocracy,N/A
Seychelles,2007,autocracy,N/A
Seychelles,2008,autocracy,N/A
Seychelles,2009,autocracy,N/A
Seychelles,2010,autocracy,N/A
Seychelles,2011,autocracy,N/A
Seychelles,2012,autocracy,N/A
Morocco,2000,autocracy,N/A
Morocco,2001,autocracy,N/A
Morocco,2002,autocracy,N/A
Morocco,2003,autocracy,N/A
Morocco,2004,autocracy,N/A
Morocco,2005,autocracy,N/A
Morocco,2006,autocracy,N/A
Morocco,2007,autocracy,N/A
Morocco,2008,autocracy,N/A
Morocco,2009,autocracy,N/A
Morocco,2010,autocracy,N/A
Morocco,2011,autocracy,N/A
Morocco,2012,autocracy,N/A
Algeria,2000,autocracy,N/A
Algeria,2001,autocracy,N/A
Algeria,2002,autocracy,N/A
Algeria,2003,autocracy,N/A
Algeria,2004,autocracy,N/A
Algeria,2005,autocracy,N/A
Algeria,2006,autocracy,N/A
Algeria,2007,autocracy,N/A
Algeria,2008,autocracy,N/A
Algeria,2009,autocracy,N/A
Algeria,2010,autocracy,N/A
Algeria,2011,autocracy,N/A
Algeria,2012,autocracy,N/A
Tunisia,2000,autocracy,N/A
Tunisia,2001,autocracy,N/A
Tunisia,2002,autocracy,N/A
Tunisia,2003,autocracy,N/A
Tunisia,2004,autocracy,N/A
Tunisia,2005,autocracy,N/A
Tunisia,2006,autocracy,N/A
Tunisia,2007,autocracy,N/A
Tunisia,2008,autocracy,N/A
Tunisia,2009,autocracy,N/A
Tunisia,2010,autocracy,N/A
Tunisia,2011,autocracy,N/A
Tunisia,2012,autocracy,N/A
Libya,2000,autocracy,N/A
Libya,2001,autocracy,N/A
Libya,2002,autocracy,N/A
Libya,2003,autocracy,N/A
Libya,2004,autocracy,N/A
Libya,2005,autocracy,N/A
Libya,2006,autocracy,N/A
Libya,2007,autocracy,N/A
Libya,2008,autocracy,N/A
Libya,2009,autocracy,N/A
Libya,2010,autocracy,N/A
Libya,2011,autocracy,N/A
Libya,2012,autocracy,N/A
Sudan,2000,autocracy,N/A
Sudan,2001,autocracy,N/A
Sudan,2002,autocracy,N/A
Sudan,2003,autocracy,N/A
Sudan,2004,autocracy,N/A
Sudan,2005,autocracy,N/A
Sudan,2006,autocracy,N/A
Sudan,2007,autocracy,N/A
Sudan,2008,autocracy,N/A
Sudan,2009,autocracy,N/A
Sudan,2010,autocracy,N/A
Sudan,2011,autocracy,N/A
Sudan,2012,autocracy,N/A
Iraq,2000,autocracy,N/A
Iraq,2001,autocracy,N/A
Iraq,2002,autocracy,N/A
Iraq,2003,N/A,N/A
Iraq,2004,N/A,N/A
Iraq,2005,N/A,N/A
Iraq,2006,N/A,N/A
Iraq,2007,N/A,N/A
Iraq,2008,N/A,N/A
Iraq,2009,autocracy,N/A
Iraq,2010,autocracy,N/A
Iraq,2011,autocracy,N/A
Iraq,2012,autocracy,N/A
Egypt,2000,autocracy,N/A
Egypt,2001,autocracy,N/A
Egypt,2002,autocracy,N/A
Egypt,2003,autocracy,N/A
Egypt,2004,autocracy,N/A
Egypt,2005,autocracy,N/A
Egypt,2006,autocracy,N/A
Egypt,2007,autocracy,N/A
Egypt,2008,autocracy,N/A
Egypt,2009,autocracy,N/A
